season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437728,2,11,Everton,Away,73763,56192,Cuco Martina,cuco-martina,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437728,2,11,Everton,Away,97410,109065,Davy Klaassen,davy-klaassen,M,True,,,,2.0,5.0,7.0,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,29.0,,,,,,,,6.0,,6.5,,,,1.0,,,,1.0,,7.0,6.0,13.0,0,1.0,15.0,,,,
2017-18,7437728,2,11,Everton,Away,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,2.0,13.0,20.0,33.0,,1.0,11.0,,,,2.0,,1.0,6.0,5.0,,,3.0,,,,,2.0,,90.0,,,,,,,,5.0,,6.8,,,,1.0,,,,2.0,,16.0,20.0,36.0,0,4.0,46.0,1.0,,,
2017-18,7437728,2,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,False,,,3.0,3.0,20.0,23.0,,2.0,3.0,,,,1.0,,,1.0,3.0,,,,,,,,1.0,,90.0,,2.0,,,,,,8.0,,6.9,,,,5.0,,,,6.0,,7.0,24.0,31.0,0,1.0,40.0,,,,
2017-18,7437728,2,11,Everton,Away,124960,87447,Muhamed Bešić,muhamed-besic,M,True,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,,,,
2017-18,7437728,2,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,12.0,9.0,6.0,15.0,,,11.0,,,,,,,,,,,,,,1.0,,,,90.0,,,,,,,,34.0,1.0,7.1,2.0,5.0,,2.0,,,1.0,45.0,,37.0,11.0,48.0,0,,59.0,,,,
2017-18,7437728,2,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,8.0,2.0,10.0,8.0,2.0,3.0,1.0,,,1.0,,2.0,13.0,6.0,,,,1.0,,,,,3.0,90.0,,,,,,,,17.0,,7.2,,,2.0,1.0,4.0,2.0,,,2.0,17.0,2.0,17.0,2,,37.0,4.0,2.0,2.0,
2017-18,7437728,2,11,Everton,Away,781544,194164,Mason Holgate,mason-holgate,D,False,,,2.0,13.0,1.0,14.0,5.0,1.0,6.0,,,,2.0,,1.0,12.0,4.0,1.0,,2.0,,,,,2.0,1.0,90.0,,,,,,,,28.0,,5.6,,,,6.0,2.0,1.0,,6.0,,24.0,4.0,27.0,0,1.0,71.0,1.0,2.0,,
2017-18,7437728,2,11,Everton,Away,795058,173807,Tom Davies,tom-davies,M,False,,,,5.0,6.0,11.0,1.0,,2.0,,,,,,,1.0,2.0,,,1.0,,,,,1.0,,61.0,,,,,,,,,,6.8,,,1.0,,1.0,,,,,5.0,6.0,11.0,1,1.0,15.0,,,1.0,
2017-18,7437728,2,11,Everton,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437762,3,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,,,2.0,24.0,10.0,34.0,3.0,1.0,3.0,,,,,,5.0,9.0,2.0,,,2.0,,,,,,2.0,90.0,,,,,,,,13.0,,6.7,,,1.0,1.0,1.0,2.0,,4.0,,29.0,12.0,39.0,1,,53.0,1.0,,1.0,
2017-18,7437762,3,11,Everton,Away,1941,10318,Maarten Stekelenburg,maarten-stekelenburg,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
