season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025245,8,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,,4.0,3.0,7.0,1.0,,,3.0,,,,,,,2.0,4.0,,,0.00808484,,,1.0,0.0,,,,,1.0,,,,,,,,45.0,,,,,,,,6.0,,,6.7,,,,,,,1.0,1.0,,,,5.0,3.0,8.0,,,0,1.0,18.0,3.0,2.0,1.0,1.0
2025-26,14025245,8,8,Chelsea,Away,1403061,550615,Tyrique George,tyrique-george,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025245,8,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,3.0,,3.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,9.0,2.0,,,0.00144497,0.343,,3.0,0.0,,,,,,,,,,,,,45.0,,,,,,,,4.0,,,5.9,,,2.0,,,1.0,2.0,,,,,3.0,,3.0,,,3,,13.0,2.0,1.0,,
2025-26,14025261,9,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,9.0,5.0,14.0,3.0,,,2.0,,,,,,3.0,6.0,3.0,,,0.0159738,,,1.0,0.0,,,,,,1.0,,,,,,,85.0,,1.0,,,,,,9.0,,,6.3,,,,,,1.0,2.0,2.0,,1.0,2.0,11.0,6.0,17.0,,,0,,31.0,1.0,1.0,2.0,
2025-26,14025261,9,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,,13.0,5.0,18.0,,,,1.0,,1.0,,,,1.0,3.0,1.0,,,0.0362202,0.2171,0.3477,1.0,0.0,1.0,,,,,,,,,,,,58.0,2.0,,,,,,,11.0,,,7.7,,,2.0,,,1.0,1.0,4.0,,,,15.0,7.0,22.0,,,4,,38.0,1.0,1.0,,
2025-26,14025261,9,8,Chelsea,Home,1403061,550615,Tyrique George,tyrique-george,F,True,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,1.805e-05,0.0731,,,0.0,,,,,,,,,,,,,13.0,,,,,,,,,,,6.6,,,1.0,,,,,,,,,,2.0,2.0,,,1,1.0,4.0,,,,1.0
2025-26,14025261,9,8,Chelsea,Home,1414933,499309,Marc Guiu,guiu-marc,F,False,,,,,2.0,2.0,,,,,,,,,,1.0,3.0,,,,3.384e-05,0.2205,0.1037,2.0,0.0,,,,,,,,,,,,,76.0,1.0,,,,,,,6.0,,,6.0,,,1.0,,,,,,,,,1.0,3.0,4.0,,,2,,10.0,3.0,,,
2025-26,14025289,10,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,,11.0,3.0,14.0,5.0,5.0,,5.0,1.0,2.0,,1.0,,2.0,12.0,11.0,,,0.133865,1.8645,2.2809,1.0,0.0,1.0,,,,,2.0,,,,,,,90.0,5.0,,,,,,,20.0,,,7.7,,,,,,1.0,4.0,,,,,17.0,6.0,23.0,,,5,3.0,50.0,5.0,2.0,1.0,2.0
2025-26,14025289,10,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,1.0,13.0,5.0,18.0,,,,4.0,2.0,,,1.0,,2.0,4.0,4.0,,,0.561636,0.0475,0.4293,1.0,0.0,,,,,,2.0,,,,,,,66.0,1.0,,,,,,,11.0,,,7.0,,,,,,,1.0,1.0,,1.0,,16.0,5.0,21.0,,,1,2.0,39.0,5.0,1.0,1.0,2.0
2025-26,14025289,10,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
