season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896919,2,90,Burnley,Away,267621,90517,Robbie Brady,robbie-brady,M,False,,,1.0,3.0,4.0,7.0,1.0,1.0,6.0,,,,,,,,3.0,4.0,,,2.0,,,,,1.0,,,40.0,1.0,,,,,,6.0,,6.9,,,,1.0,,,,3.0,,7.0,5.0,12.0,1,2.0,22.0,1.0,1.0,,1.0
2020-21,8896919,2,90,Burnley,Away,358394,172782,Josh Brownhill,josh-brownhill,M,False,,,,23.0,7.0,30.0,2.0,1.0,9.0,,,1.0,1.0,,,1.0,6.0,4.0,,,2.0,,,,,5.0,2.0,,90.0,,,,,,,10.0,,6.6,,,1.0,,2.0,1.0,,,,28.0,10.0,37.0,2,1.0,51.0,,1.0,1.0,
2020-21,8896919,2,90,Burnley,Away,826259,220037,Bailey Peacock-Farrell,bailey-peacock-farrell,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,90,Burnley,Away,914891,218023,Jimmy Dunne,jimmy-dunne,D,False,,,2.0,5.0,11.0,16.0,,7.0,3.0,,,,,,,1.0,2.0,9.0,,,1.0,,1.0,,,2.0,1.0,,90.0,1.0,2.0,,,,,10.0,,7.5,,,1.0,8.0,,,,5.0,,12.0,13.0,25.0,2,,43.0,,2.0,,
2020-21,8896919,2,90,Burnley,Away,935543,433154,Dwight McNeil,dwight-mcneil,M,False,2.0,,,15.0,10.0,23.0,1.0,1.0,3.0,,,,,,,1.0,4.0,4.0,,,1.0,1.0,,,,,2.0,,90.0,,,,,,,7.0,,6.7,,,,,3.0,3.0,,,,19.0,10.0,26.0,0,,36.0,1.0,1.0,2.0,
2020-21,8896919,2,90,Burnley,Away,974553,217401,Josh Benson,josh-benson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,90,Burnley,Away,982139,195471,Anthony Driscoll-Glennon,anthony-driscoll-glennon,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,90,Burnley,Away,1033352,461102,Bobby Thomas,bobby-thomas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,2.0,,2.0,15.0,15.0,28.0,2.0,4.0,7.0,,,,1.0,,,1.0,5.0,7.0,,,1.0,,,,,4.0,,,90.0,,,,,,,29.0,,6.8,,,,3.0,,6.0,,12.0,,33.0,21.0,48.0,0,1.0,90.0,1.0,2.0,,1.0
2020-21,8896923,3,90,Burnley,Home,17063,39487,Erik Pieters,erik-pieters,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,21299,40845,Dale Stephens,dale-stephens,M,False,,,5.0,24.0,20.0,44.0,,4.0,8.0,,,1.0,,,,3.0,5.0,12.0,,,2.0,,,,,2.0,,,90.0,,,,,,,11.0,,7.5,,,1.0,,1.0,,,5.0,,30.0,22.0,52.0,2,6.0,72.0,,1.0,1.0,3.0
2020-21,8896923,3,90,Burnley,Home,49647,60551,Ashley Westwood,ashley-westwood,M,False,,,4.0,36.0,32.0,68.0,1.0,,10.0,,,,,,,,4.0,4.0,,,2.0,,,,,,2.0,,90.0,,,,,,,25.0,,7.1,,,,,1.0,7.0,,8.0,,55.0,35.0,83.0,0,1.0,102.0,2.0,3.0,,
2020-21,8896923,3,90,Burnley,Home,50480,60689,Chris Wood,chris-wood,F,False,,,,10.0,3.0,13.0,10.0,7.0,1.0,,,,,,,1.0,11.0,7.0,,,2.0,,,,,,,,90.0,1.0,,,,,,13.0,,6.7,,,,,,,,,1.0,19.0,3.0,22.0,1,,29.0,3.0,,,
2020-21,8896923,3,90,Burnley,Home,58488,81183,Matěj Vydra,matej-vydra,F,False,1.0,,,9.0,1.0,9.0,11.0,3.0,1.0,,,1.0,1.0,,,2.0,14.0,3.0,,,,,,,,2.0,1.0,,90.0,,,,,,,7.0,,6.5,,,1.0,,,1.0,,,1.0,13.0,1.0,13.0,2,,26.0,,,,
2020-21,8896923,3,90,Burnley,Home,67507,68983,Matthew Lowton,matthew-lowton,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,96116,41674,Kevin Long,kevin-long,D,False,,,4.0,7.0,39.0,46.0,3.0,6.0,6.0,,,,,,,,3.0,7.0,,,,,,,,2.0,,,90.0,,2.0,,,,,20.0,,7.2,,,,6.0,,,,10.0,,22.0,44.0,66.0,0,1.0,81.0,,,,
2020-21,8896923,3,90,Burnley,Home,162653,98747,Nick Pope,nick-pope,G,False,,1.0,8.0,5.0,8.0,13.0,,,7.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,22.0,,6.4,,,,,,,1.0,28.0,,22.0,11.0,33.0,0,,40.0,,,,
2020-21,8896923,3,90,Burnley,Home,166381,103914,Charlie Taylor,charlie-taylor,D,False,,,2.0,21.0,29.0,50.0,,,4.0,,,,,,,,,4.0,,,,,,,,,,,90.0,1.0,,,,,,23.0,,6.8,,,,,,6.0,,8.0,,39.0,32.0,65.0,1,1.0,90.0,,3.0,,
2020-21,8896923,3,90,Burnley,Home,358394,172782,Josh Brownhill,josh-brownhill,M,False,1.0,,1.0,18.0,13.0,30.0,2.0,4.0,5.0,,,2.0,1.0,,,1.0,5.0,7.0,,,1.0,,,,,2.0,,,90.0,,,,,,,11.0,,6.9,,,1.0,,,1.0,,2.0,,25.0,15.0,39.0,3,3.0,55.0,1.0,,,1.0
2020-21,8896923,3,90,Burnley,Home,826259,220037,Bailey Peacock-Farrell,bailey-peacock-farrell,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,914891,218023,Jimmy Dunne,jimmy-dunne,D,False,,,5.0,6.0,37.0,43.0,1.0,1.0,11.0,,,,,,,,1.0,1.0,,,,,,,,2.0,1.0,,90.0,,,,,,,19.0,,6.7,,,1.0,2.0,,,,11.0,,22.0,40.0,62.0,1,,69.0,,,,
2020-21,8896923,3,90,Burnley,Home,935543,433154,Dwight McNeil,dwight-mcneil,M,False,2.0,,1.0,21.0,11.0,30.0,,1.0,6.0,,,,1.0,,,3.0,4.0,6.0,,,,,,,,1.0,,,90.0,,,,,,,25.0,,6.8,,,,,2.0,13.0,,2.0,,40.0,12.0,39.0,0,2.0,68.0,2.0,1.0,2.0,1.0
2020-21,8896923,3,90,Burnley,Home,974553,217401,Josh Benson,josh-benson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,982139,195471,Anthony Driscoll-Glennon,anthony-driscoll-glennon,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,1009757,195064,Mace Goodridge,mace-goodridge,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896923,3,90,Burnley,Home,1033352,461102,Bobby Thomas,bobby-thomas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896897,4,90,Burnley,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,,,3.0,14.0,15.0,29.0,,,4.0,,,,2.0,,,,8.0,4.0,,,5.0,,,,,1.0,,,90.0,,,,,,,21.0,,5.9,,,,1.0,3.0,3.0,,9.0,,23.0,20.0,40.0,0,2.0,66.0,,,2.0,2.0
2020-21,8896897,4,90,Burnley,Away,17063,39487,Erik Pieters,erik-pieters,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896897,4,90,Burnley,Away,21299,40845,Dale Stephens,dale-stephens,M,False,,,,14.0,14.0,28.0,1.0,1.0,3.0,,,1.0,1.0,,,,3.0,2.0,,,,,,,,2.0,,,68.0,,,,,,,7.0,,6.4,,,,,1.0,,,1.0,,17.0,14.0,31.0,1,1.0,41.0,2.0,,,
2020-21,8896897,4,90,Burnley,Away,27028,44699,Ashley Barnes,ashley-barnes,M,False,1.0,,,6.0,3.0,8.0,2.0,6.0,2.0,,,1.0,,,,1.0,6.0,11.0,,,3.0,,,,,,2.0,,78.0,,,,,,,17.0,,6.8,,,,,,2.0,,1.0,1.0,15.0,5.0,18.0,1,,39.0,5.0,6.0,,
2020-21,8896897,4,90,Burnley,Away,49647,60551,Ashley Westwood,ashley-westwood,M,False,,,8.0,28.0,31.0,59.0,1.0,,7.0,,,,1.0,,,,2.0,3.0,,,1.0,,1.0,,,2.0,,,90.0,1.0,,,,,,19.0,,7.5,,,,,,6.0,,14.0,,45.0,33.0,72.0,1,1.0,84.0,,2.0,,1.0
2020-21,8896897,4,90,Burnley,Away,49805,60586,Jóhann Guðmundsson,johann-gumundsson,M,True,,,,9.0,4.0,13.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,22.0,,,,,,,2.0,,6.5,,,,,,,,,,10.0,5.0,15.0,0,1.0,18.0,,,,
2020-21,8896897,4,90,Burnley,Away,50480,60689,Chris Wood,chris-wood,F,False,,,,6.0,5.0,11.0,7.0,5.0,1.0,,,,1.0,,,,9.0,6.0,,,2.0,,,,,,,,90.0,1.0,,,,,,13.0,,6.7,,,1.0,,,,,,2.0,14.0,6.0,20.0,2,1.0,31.0,3.0,,,
